PageID,EndTime,Iteration,Permutation,Response,StartTime,TrialNumber,Version,ReactionTime,SelectedIndex
295,1434571621123.7083,1.0,0.0,0.041666666666666664,1434571618813.6667,20.375,0.0,2310.0416666666665,0.5416666666666666
298,1434571392425.1538,1.0,0.0,0.07692307692307693,1434571386379.1155,18.46153846153846,3.0,6046.038461538462,0.4230769230769231
301,1434570878622.04,1.0,0.0,0.0,1434570875583.8,21.92,2.0,3038.24,0.4
304,1434571076145.8333,1.0,0.0,0.041666666666666664,1434571073344.75,20.833333333333332,1.0,2801.0833333333335,0.3333333333333333
307,1434571621881.75,1.0,0.0,0.125,1434571619470.0,19.625,0.0,2411.75,0.625
310,1434571381450.577,1.0,0.0,0.038461538461538464,1434571378521.5386,16.53846153846154,3.0,2929.0384615384614,0.38461538461538464
313,1434570867763.28,1.0,0.0,0.84,1434570864674.6,17.04,2.0,3088.68,0.56
316,1434571079380.375,1.0,0.0,0.7916666666666666,1434571076523.0833,20.416666666666668,1.0,2857.2916666666665,0.5
319,1434571621015.5833,1.0,0.0,0.875,1434571618056.5833,18.375,0.0,2959.0,0.5
322,1434571394103.0,1.0,0.0,0.9230769230769231,1434571391519.4614,20.384615384615383,3.0,2583.5384615384614,0.4230769230769231
325,1434570879466.48,1.0,0.0,0.92,1434570876617.64,20.92,2.0,2848.84,0.4
328,1434571079981.7917,1.0,0.0,0.9583333333333334,1434571077407.4583,20.166666666666668,1.0,2574.3333333333335,0.5
329,1434571074988.2917,1.0,0.0,0.125,1434571071806.1667,19.0,1.0,3182.125,0.4583333333333333
332,1434570875461.88,1.0,0.0,0.04,1434570872904.52,21.28,2.0,2557.36,0.6
335,1434571388386.3462,1.0,0.0,0.0,1434571386051.6155,19.307692307692307,3.0,2334.730769230769,0.5
338,1434571623544.25,1.0,0.0,0.08333333333333333,1434571620935.7083,20.333333333333332,0.0,2608.5416666666665,0.375
341,1434571069119.9583,1.0,0.0,0.125,1434571065693.4583,17.791666666666668,1.0,3426.5,0.4166666666666667
344,1434570873745.28,1.0,0.0,0.0,1434570870338.36,19.28,2.0,3406.92,0.56
347,1434571403193.8845,1.0,0.0,0.11538461538461539,1434571400876.5386,23.923076923076923,3.0,2317.346153846154,0.5769230769230769
350,1434571618397.9583,1.0,0.0,0.0,1434571615254.4167,18.583333333333332,0.0,3143.5416666666665,0.7083333333333334
353,1434571082784.6667,1.0,0.0,0.041666666666666664,1434571079041.6667,21.166666666666668,1.0,3743.0,0.375
356,1434570890739.64,1.0,0.0,0.04,1434570888416.88,25.96,2.0,2322.76,0.72
359,1434571385985.077,1.0,0.0,0.15384615384615385,1434571383436.3076,18.76923076923077,3.0,2548.769230769231,0.5
362,1434571618563.875,1.0,0.0,0.041666666666666664,1434571615672.25,18.541666666666668,0.0,2891.625,0.375
365,1434571077067.0417,1.0,0.0,0.08333333333333333,1434571074893.7083,20.375,1.0,2173.3333333333335,0.4583333333333333
368,1434570884333.72,1.0,0.0,0.0,1434570882388.72,24.44,2.0,1945.0,0.4
371,1434571399138.1924,1.0,0.0,0.07692307692307693,1434571395647.423,22.423076923076923,3.0,3490.769230769231,0.6538461538461539
374,1434571570992.4167,1.0,0.0,0.08333333333333333,1434571568464.5,23.0,0.0,2527.9166666666665,0.5416666666666666
377,1434571084867.75,1.0,0.0,0.20833333333333334,1434571081625.4167,22.375,1.0,3242.3333333333335,0.4583333333333333
380,1434570870821.6,1.0,0.0,0.08,1434570868553.4,19.12,2.0,2268.2,0.44
383,1434571388175.1155,1.0,0.0,0.7692307692307693,1434571385079.923,18.153846153846153,3.0,3095.1923076923076,0.46153846153846156
386,1434571564019.0417,1.0,0.0,0.7916666666666666,1434571560983.2917,19.375,0.0,3035.75,0.5416666666666666
389,1434571072866.1667,1.0,0.0,0.9166666666666666,1434571070251.5,19.458333333333332,1.0,2614.6666666666665,0.4166666666666667
392,1434570883450.64,1.0,0.0,1.0,1434570880956.4,23.64,2.0,2494.24,0.56
395,1434571390236.5386,1.0,0.0,0.9230769230769231,1434571387774.3845,19.115384615384617,3.0,2462.153846153846,0.46153846153846156
398,1434571633881.2083,1.0,0.0,0.9166666666666666,1434571631252.875,23.708333333333332,0.0,2628.3333333333335,0.5416666666666666
401,1434571081068.9583,1.0,0.0,0.9166666666666666,1434571078842.75,19.791666666666668,1.0,2226.2083333333335,0.5
404,1434570878221.2,1.0,0.0,0.96,1434570875814.32,20.12,2.0,2406.88,0.32
407,1434571403789.423,1.0,0.0,0.9615384615384616,1434571399578.6538,22.807692307692307,3.0,4210.7692307692305,0.38461538461538464
410,1434571618946.5833,1.0,0.0,0.9583333333333334,1434571615874.2917,19.083333333333332,0.0,3072.2916666666665,0.4583333333333333
413,1434571088410.6667,1.0,0.0,0.9166666666666666,1434571085687.5417,22.375,1.0,2723.125,0.7083333333333334
416,1434570880442.76,1.0,0.0,1.0,1434570878131.16,22.2,2.0,2311.6,0.56
419,1434571397745.0386,1.0,0.0,0.9230769230769231,1434571395407.9614,22.03846153846154,3.0,2337.076923076923,0.2692307692307692
422,1434571626893.2917,1.0,0.0,0.9583333333333334,1434571624391.6667,21.25,0.0,2501.625,0.4583333333333333
425,1434571084375.2917,1.0,0.0,1.0,1434571081490.4583,20.708333333333332,1.0,2884.8333333333335,0.5833333333333334
428,1434570878595.32,1.0,0.0,1.0,1434570876207.4,21.32,2.0,2387.92,0.52
431,1434571390908.3462,1.0,0.0,0.9230769230769231,1434571388395.423,19.96153846153846,3.0,2512.923076923077,0.5
434,1434571622912.375,1.0,0.0,0.9166666666666666,1434571617736.9167,21.375,0.0,5175.458333333333,0.5
